@relation Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.RandomProjection-N3-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute class {0,1}

@data
4.199357,2.635315,0,0
10.126037,9.787126,0,1
-11.719575,-6.195026,0,1
-11.380591,-0.08658,0,1
-15.262832,-7.686668,0,1
5.927663,6.063563,0,0
12.336515,11.744517,0,1
-5.628396,0.039567,0,0
-7.714615,0.076669,0,1
-17.219356,-6.386591,0,0
0.65714,1.234259,0,1
5.221666,5.030568,0,0
-5.834067,-1.619641,0,0
-1.302502,-1.858664,0,1
-13.173286,-6.947602,0,0
16.679615,15.500815,0,1
11.189949,10.996617,0,1
3.721346,3.39811,0,0
-2.191027,-3.038364,0,1
-7.383992,-0.620854,0,1
1.067117,0.970087,0,1
-3.073611,0.410583,0,0
8.746458,7.921534,0,1
10.88542,8.396463,0,0
5.174155,2.308824,0,1
-1.936814,-2.631851,0,0
-6.257813,-5.696369,0,1
-12.937796,0.499627,0,0
6.114659,2.805922,0,1
-8.187577,-4.118817,0,1
8.361146,8.067027,0,1
-9.34095,-6.098551,0,0
-1.5488,-2.104961,0,0
9.770221,9.97107,0,0
-1.274599,-0.910245,0,1
5.282374,3.648911,0,1
3.402448,0.095963,0,0
-6.881091,-5.101236,0,1
15.237041,14.683114,0,1
4.510953,2.572961,0,1
-14.055592,-6.810943,0,0
-3.809507,-0.13704,0,1
-0.110972,0.605005,0,0
9.454365,8.501771,0,0
-10.537624,-2.93011,0,0
-0.405352,-1.073508,0,0
-4.073576,-0.410115,0,1
-11.620502,-5.813629,0,0
4.601643,4.224645,0,1
13.978779,14.119159,0,0
2.789277,0.873629,0,0
1.673698,0.786057,0,0
2.230985,1.952541,0,1
-10.964921,-3.722524,0,0
18.504867,17.845666,0,1
8.368525,9.064341,0,0
14.51805,16.654015,0,1
1.42837,-0.377466,0,1
10.519022,11.43881,0,0
17.597307,19.021036,0,1
-6.699711,-1.441551,0,1
3.645274,5.351171,0,0
14.041632,12.979296,0,1
10.02026,7.88291,0,0
-7.990609,-1.039369,0,1
-5.230741,-3.833894,0,0
3.434553,1.339637,0,0
14.149504,13.792667,0,0
-1.635801,-1.423746,0,0
-11.995266,1.274322,0,0
-1.524187,0.477371,0,0
-6.268967,-5.23495,0,0
-6.343116,-1.855546,0,0
6.491709,5.250192,0,0
-7.575401,0.287417,0,1
15.346923,13.670904,0,1
-13.993065,-6.678961,0,0
12.425126,11.429976,0,0
-5.12713,-3.562309,0,0
-7.677973,-1.517242,0,0
-1.954515,-1.312444,0,1
16.937638,15.292969,0,0
3.61789,3.834414,0,0
10.838117,11.995318,0,1
11.932618,9.674197,0,0
2.216072,-0.490257,0,0
11.196825,10.116562,0,1
17.102547,18.022335,0,1
-4.152765,-2.010045,0,0
-3.832336,0.312635,0,1
-11.615826,-6.31523,0,1
-0.659911,1.84117,0,1
-6.382954,-5.028663,0,0
-1.404918,-1.811032,0,0
6.8972,4.511126,0,1
-0.947259,-2.69715,0,0
-8.087984,-3.179352,0,1
-4.996949,-3.86663,0,0
3.696023,1.780375,0,0
-12.076205,-6.370136,0,1
-6.969946,-2.683813,0,0
-9.761284,-1.331739,0,1
-5.15008,-3.112669,0,0
4.69559,2.311768,0,1
18.205932,20.724854,0,1
2.666856,1.118506,0,0
-14.586639,-7.888452,0,1
4.715266,3.852254,0,1
-4.671289,-1.417805,0,0
-16.034114,-8.265346,0,1
0.202581,-1.110608,0,1
-11.647037,1.588949,0,0
15.790207,16.394207,0,1
4.456394,6.62596,0,0
-1.184376,4.485838,0,0
-6.958912,-5.806181,0,1
-2.94007,-0.696544,0,1
4.731616,2.381397,0,1
-6.435088,-1.732397,0,1
-9.805832,-5.427901,0,0
6.171886,4.686237,0,1
-8.176146,-3.908026,0,1
-3.92604,1.860569,0,0
-8.45828,0.22657,0,1
10.596912,10.049705,0,1
1.768987,1.689875,0,1
-0.6755,4.410148,0,0
5.161858,2.359226,0,0
7.198923,3.966396,0,0
1.976062,3.487138,0,0
13.996703,16.441665,0,1
-4.045083,-1.147709,0,0
4.785452,4.70858,0,1
1.177795,2.15138,0,0
-15.47241,-7.979038,0,0
5.916997,4.86585,0,1
5.496663,3.536155,0,0
-5.097408,-0.488767,0,0
-5.672259,-4.277646,0,1
-8.110501,-4.758463,0,0
10.491205,8.031346,0,0
5.972631,2.473542,0,0
-7.681126,-5.408502,0,1
4.540225,4.015413,0,0
-12.886112,-6.767989,0,0
-15.854673,-8.314363,0,0
-14.911225,-7.189396,0,0
9.937884,11.242915,0,0
15.987297,16.16575,0,1
5.490341,4.560143,0,1
-7.007704,2.044513,0,0
-2.954965,-3.983717,0,1
4.067773,4.36269,0,0
-11.7262,0.024725,0,1
0.541785,1.311509,0,0
4.933371,5.051353,0,0
1.518316,2.160387,0,1
-19.555027,-6.558757,0,0
-15.271146,-5.114746,0,0
-5.837184,-2.827746,0,0
-10.648995,-7.061744,0,1
4.305861,1.568181,0,1
-6.970292,-5.16359,0,1
5.02782,4.993502,0,0
8.405816,6.633408,0,1
-0.900043,-2.217718,0,0
7.048927,3.487138,0,0
-5.011117,-3.61427,0,0
10.668948,9.275132,0,1
6.324635,6.58595,0,0
-11.955758,1.188256,0,1
-2.580201,-4.007619,0,1
12.397798,12.350042,0,0
-15.004063,-8.511817,0,1
-12.502151,-0.439802,0,1
-1.555832,-0.577812,0,0
-10.851645,-6.030308,0,1
-9.805832,-5.427901,0,0
-10.560833,-7.204292,0,1
1.637602,2.431973,0,1
4.196239,1.769983,0,0
-5.462888,-2.370658,0,0
