@relation Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.RandomProjection-N3-R4-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute class {0,1}

@data
0,-8.394038,-4.333072,0
0,2.845811,10.913652,1
0,6.021579,-5.50515,1
0,20.160379,-11.515713,1
0,7.373756,-6.46921,1
0,-5.895101,7.21122,0
0,0.980427,13.687705,1
0,2.042781,-14.386587,0
0,16.739232,-13.931404,1
0,10.399146,-16.153452,0
0,6.800897,-0.397817,1
0,-3.133505,-5.039229,0
0,4.000933,-15.56213,0
0,-1.297999,1.645119,1
0,0.238677,-16.493973,0
0,1.814011,11.84896,1
0,3.724048,8.214771,1
0,-4.93153,-5.48731,0
0,-1.368355,-0.301048,1
0,13.037839,-6.920929,1
0,3.750548,0.412193,1
0,0.166104,-10.53364,0
0,1.389676,4.171991,1
0,-6.64051,-0.408573,0
0,0.606737,0.85662,1
0,-7.234915,-12.43318,0
0,-0.478652,-3.347535,1
0,17.355842,-20.988472,0
0,-0.532432,0.67382,1
0,7.024159,-4.842121,1
0,2.519424,10.988823,1
0,-0.190179,-16.042428,0
0,-5.741922,-12.472671,0
0,-1.922992,-1.5519,0
0,2.516254,2.974797,1
0,-1.009491,7.705894,1
0,-11.393257,-2.26864,0
0,2.894014,-4.286479,1
0,2.492577,11.193205,1
0,2.344504,0.695332,1
0,0.149822,-17.648039,0
0,9.86299,-6.831208,1
0,-0.397644,-12.300678,0
0,-2.131895,-4.028577,0
0,6.61226,-17.5119,0
0,-5.108268,-11.737935,0
0,10.453793,-7.053431,1
0,1.648566,-16.210783,0
0,4.358082,-0.788481,1
0,-3.603622,11.917202,0
0,-10.650207,0.917537,0
0,-7.905911,0.286741,0
0,3.843317,2.4945,1
0,5.83327,-15.859696,0
0,5.848633,14.361472,1
0,-3.189,7.175367,0
0,4.81181,17.579969,1
0,-0.886602,0.168468,1
0,-0.562397,-0.014321,0
0,9.833528,10.225508,1
0,9.668481,-5.386851,1
0,0.806096,5.652201,0
0,2.807065,12.178742,1
0,-5.759242,-1.634329,0
0,13.827135,-6.376025,1
0,-0.724396,-15.203769,0
0,-10.625092,-1.193487,0
0,-4.597937,10.942231,0
0,-4.175403,-5.04633,0
0,17.508436,-21.866622,0
0,-3.141767,-9.737936,0
0,-6.19054,-15.106947,0
0,-1.026587,-12.526365,0
0,-5.400517,-2.809906,0
0,20.05022,-16.096121,1
0,1.212522,12.390225,1
0,0.648999,-17.587071,0
0,-6.458211,8.956608,0
0,-0.480904,-14.522726,0
0,3.311508,-13.615998,0
0,3.681647,0.139796,1
0,1.291504,-1.845847,0
0,-1.453416,-9.727197,0
0,5.578433,12.752224,1
0,-5.332465,1.333298,0
0,-10.896332,-3.648565,0
0,0.167992,11.705719,1
0,9.307418,8.648476,1
0,-2.272277,-10.651939,0
0,9.822287,-3.121675,1
0,5.932898,-5.010477,1
0,11.065553,-5.716634,1
0,-4.197106,-15.049616,0
0,-6.070613,-12.006749,0
0,2.635142,1.046574,1
0,-10.863942,-6.899451,0
0,5.762204,-5.300941,1
0,-1.382367,-15.225246,0
0,-8.913999,-0.892422,0
0,7.227398,-5.641289,1
0,4.082807,-10.870524,0
0,14.332894,-8.415515,1
0,-1.647354,-8.996099,0
0,1.565947,0.530458,1
0,10.118468,13.383037,1
0,-6.665347,-1.863687,0
0,4.68208,-6.777515,1
0,0.375301,7.698619,1
0,-1.632458,-12.662677,0
0,6.716876,-6.849222,1
0,-1.320212,-1.089547,1
0,17.497524,-22.049353,0
0,3.023329,16.748585,1
0,-4.337748,9.393951,0
0,9.572006,-19.974183,0
0,0.739222,-3.616349,1
0,6.417768,-6.483586,1
0,-2.633549,5.816919,1
0,8.722954,-5.483673,1
0,4.859442,-14.182205,0
0,3.745317,1.164856,1
0,8.195891,-5.709532,1
0,5.530559,-13.762876,0
0,18.44842,-14.074818,1
0,2.20277,11.444006,1
0,5.472285,0.24732,1
0,7.816745,-18.780627,0
0,-9.738975,-0.795652,0
0,-8.250104,-1.225738,0
0,1.190993,-11.272013,0
0,6.003461,18.823755,1
0,1.291712,-16.336357,0
0,3.874109,1.483831,1
0,-0.014722,0.042955,0
0,0.063047,-15.902651,0
0,1.272226,3.598509,1
0,-9.594003,0.121876,0
0,2.875031,-13.483323,0
0,1.823209,-3.354636,1
0,1.800709,-13.468947,0
0,-5.957389,-1.426448,0
0,-11.05672,-0.802823,0
0,3.936605,-4.670129,1
0,-5.778641,4.490861,0
0,-0.423313,-16.938418,0
0,-2.173724,-17.841682,0
0,1.054126,-16.963532,0
0,-0.955122,0.268832,0
0,3.649829,16.225159,1
0,4.864898,0.87453,1
0,10.640819,-17.300416,0
0,-2.794404,-1.910279,1
0,-1.54227,-4.250799,0
0,22.725892,-16.081745,1
0,0.11189,-1.22941,0
0,-1.193804,-5.247075,0
0,4.029097,-0.358396,1
0,14.359203,-16.569318,0
0,12.408066,-17.784351,0
0,0.32857,-15.902651,0
0,2.5113,-6.368924,1
0,-0.371698,-0.318974,1
0,2.614721,-4.050054,1
0,-6.872281,6.533815,0
0,-0.527617,9.899363,1
0,-8.624851,-11.806005,0
0,-10.180475,-0.401403,0
0,-0.625496,-15.859696,0
0,0.467099,10.931492,1
0,-5.382573,7.727371,0
0,24.663884,-11.766514,1
0,-4.16579,-1.505308,1
0,3.032003,-1.480211,0
0,3.805142,-6.584045,1
0,23.361382,-16.630113,1
0,0.311561,-11.42963,0
0,5.451318,-5.272189,1
0,4.859476,-14.182205,0
0,1.514159,-6.40114,1
0,5.048287,0.422932,1
0,-8.632022,-2.498137,0
0,1.310989,-16.91694,0
0,-4.500734,-11.770151,0
0,10.230705,-6.386764,1
0,9.95323,-6.074995,1
0,17.189911,-21.440018,0
0,13.346317,23.01705,1
0,6.666941,-5.121674,1
0,7.385118,-18.522551,0
0,7.140622,-14.533465,0
0,6.249586,-0.175613,1
0,-3.034172,-1.835108,1
0,3.621337,-4.863599,1
0,-6.112511,7.956695,0
0,-3.852427,8.981723,0
0,14.412741,-19.751961,0
0,4.17798,8.376025,1
0,-7.684417,-0.709639,0
0,1.52973,-12.354372,0
0,13.566097,-19.676617,0
0,-1.666406,-18.253737,0
0,10.321464,-19.307517,0
0,6.717932,-2.716722,1
0,-6.936188,-7.451283,0
0,10.283359,-8.462107,1
0,-8.736291,6.856323,0
0,-5.022203,-11.089109,0
0,-5.356887,0.437274,0
0,8.884208,22.178391,1
0,-2.086255,-16.053166,0
0,-1.810686,-10.031865,0
0,-0.014757,0.043026,0
0,-4.975836,-14.214595,0
0,-7.197381,-5.218496,0
0,-4.894221,-12.48341,0
0,6.485976,13.261101,1
0,-8.941539,-3.211395,0
0,-8.994124,-2.07517,0
0,6.659389,-2.759677,1
0,19.480549,-21.128249,0
0,9.7542,-15.813104,0
0,1.352591,-12.426079,0
0,-1.182436,-0.992777,1
0,3.967626,-5.128776,1
0,9.962583,-21.719571,0
0,8.805746,-20.647951,0
0,1.1073,-17.612185,0
0,-2.469939,0.903213,1
0,2.249241,-15.924129,0
0,-2.766605,-0.505343,1
0,6.097148,-17.709007,0
0,6.014997,-3.07872,1
0,3.02449,3.680954,1
0,-2.263964,-13.870436,0
0,9.012207,-5.816919,1
0,7.0747,-4.838484,1
0,2.470372,10.669953,1
0,2.925434,-11.952883,0
0,0.806096,5.652201,0
0,8.473885,-4.204207,1
0,15.523852,-8.483585,1
0,-1.08222,1.118247,1
0,-11.301978,-2.770415,0
0,-10.634272,-0.580601,0
0,9.581185,14.38295,1
0,7.15337,11.84896,1
0,2.36037,10.996098,1
0,-7.655526,-9.519351,0
0,3.056354,11.920666,1
0,-2.726889,-11.458382,0
0,6.500924,11.383038,1
0,-3.522997,-3.207758,1
0,2.509222,-8.279203,1
0,6.371782,-5.734474,1
0,5.482322,-6.655578,1
0,-5.372458,-11.58742,0
0,-3.027123,-11.157352,0
0,-3.456169,-10.42608,0
0,6.544173,-6.745299,1
0,8.948467,21.196318,1
0,4.546994,0.168468,1
0,1.203256,-15.777251,0
0,7.872864,-5.666404,1
0,3.382851,-3.351172,1
0,-10.33151,-0.853,0
0,-0.701467,0.971299,0
0,10.797432,-3.297305,1
0,-8.430844,-3.003376,0
0,5.784357,-2.211309,1
