@relation Adult-Income-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R4-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {<=50K,>50K}

@data
1.732051,74.478185,-313501.19617,-62.353829,313475.215408,-22.51666,-313497.732068,-313386.880817,-313475.215408,313390.344918,>50K
-2892.524849,55.425626,-359478.484857,-67.549981,356573.835653,2878.668442,-356582.495907,-356490.697214,-359468.092552,356485.501061,<=50K
0,31.176915,-723418.732594,-62.353829,723401.412086,-13.856406,-723415.268492,-723318.273647,-723406.608238,723316.541596,<=50K
3.464102,9524.547391,-338368.249614,-41.569219,328897.395798,-19.052559,-319468.111202,-328835.041969,-328900.8599,328831.577868,<=50K
-3199.097842,57.157677,-386642.237672,-45.033321,383415.427017,3178.313232,-383436.211627,-383342.680884,-386614.524859,383346.144985,>50K
-1.732051,46.765372,-188215.033055,-46.765372,188204.64075,-13.856406,-188215.033055,-188133.626667,-188206.372801,188135.358718,<=50K
0,62.353829,-329143.347013,-50.229473,329127.758556,-13.856406,-329141.614962,-329061.940625,-329132.954708,329060.208574,>50K
-1.732051,53.693575,-384757.766393,-51.961524,384742.177936,-13.856406,-384757.766393,-384667.699751,-384745.642038,384665.967701,<=50K
1.732051,64.08588,-285578.805101,-62.353829,285552.824339,-22.51666,-285575.341,-285469.6859,-285558.020491,285469.6859,<=50K
0,51.961524,-296177.223993,-77.942286,296151.243231,-22.51666,-296173.759891,-296045.588131,-296152.975281,296049.052233,>50K
1.732051,51.961524,-322653.352637,-45.033321,322627.371875,-20.78461,-322651.620586,-322556.357792,-322629.103926,322559.821894,<=50K
1.732051,60.621778,-495428.884794,-46.765372,495409.832235,-13.856406,-495423.688641,-495342.282253,-495415.028387,495342.282253,>50K
1.732051,51.961524,-698788.97011,-58.889727,698771.649602,-22.51666,-698792.434212,-698678.118859,-698766.45345,698681.58296,>50K
0,34.641016,-388355.235921,-31.176915,388343.111565,-13.856406,-388356.967971,-388287.685939,-388339.647463,388289.41799,<=50K
0,126.439709,-213328.037714,-3.464102,213319.37746,-8.660254,-213328.037714,-213303.789003,-213322.841562,213305.521054,<=50K
-1.732051,64.08588,-172411.801487,-39.837169,172384.088674,-25.980762,-172408.337385,-172313.074591,-172389.284827,172316.538693,>50K
-1.732051,53.693575,-213359.214629,-71.014083,213354.018476,-8.660254,-213360.94668,-213265.683885,-213354.018476,213269.147987,<=50K
-1.732051,57.157677,-400193.80319,-65.817931,400178.214733,-13.856406,-400190.339089,-400091.612193,-400181.678835,400093.344244,>50K
0,13404.3412,-563668.22251,-41.569219,550329.699241,-20.78461,-537034.477242,-550256.953107,-550331.431292,550262.14926,>50K
-1.732051,98.726896,-417538.559977,-60.621778,417521.239469,-13.856406,-417535.095876,-417445.029234,-417522.97152,417438.101031,<=50K
0,58.889727,-381188.009679,-53.693575,381167.225069,-22.51666,-381188.009679,-381077.158427,-381168.95712,381080.622529,<=50K
-1.732051,60.621778,-312377.095196,-48.497423,312361.506739,-13.856406,-312373.631094,-312292.224706,-312364.97084,312293.956757,<=50K
-3.464102,102.190998,-55162.354119,-48.497423,55148.497713,-13.856406,-55160.622069,-55077.48363,-55153.693865,55080.947731,>50K
0,76.210236,-317280.531032,-45.033321,317258.014372,-20.78461,-317277.06693,-317188.732339,-317256.282321,317187.000288,<=50K
-1.732051,45.033321,-668651.286059,-62.353829,668635.697601,-15.588457,-668651.286059,-668552.559163,-668637.429652,668552.559163,<=50K
0,51.961524,-773144.179229,-51.961524,773116.466416,-27.712813,-773142.447178,-773028.131824,-773119.930517,773029.863875,>50K
-1.732051,76.210236,-48575.364898,-62.353829,48558.04439,-13.856406,-48575.364898,-48474.905951,-48563.240543,48471.44185,<=50K
0,67.549981,-488722.384067,-22.51666,488705.063559,-10.392305,-488718.919965,-488666.958441,-488708.52766,488663.494339,<=50K
0,46.765372,-333244.843325,-39.837169,333217.130513,-24.248711,-333243.111275,-333149.580531,-333222.326665,333147.84848,<=50K
0,32.908965,-664494.364121,-12.124356,664475.311562,-12.124356,-664490.900019,-664445.866698,-664480.507714,664444.134647,<=50K
0,51.961524,-792252.163738,-32.908965,792241.771433,-3.464102,-792248.699636,-792201.934264,-792246.967585,792201.934264,<=50K
-1.732051,58.889727,-139014.397815,-103.923048,138990.149104,-15.588457,-139010.933714,-138870.637598,-138997.077307,138868.905548,<=50K
0,57.157677,-276345.242246,-45.033321,276324.457636,-20.78461,-276346.974297,-276255.175604,-276327.921738,276258.639706,<=50K
