@relation Adult-Income-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R100-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {<=50K,>50K}

@data
-19.052559,1.732051,90.066642,-313549.693593,0,0,-159.348674,313392.076969,142.028166,1.732051,>50K
-2904.649204,-1.732051,90.066642,-359516.589975,0,-2894.256899,-138.564065,359376.293859,-2764.353089,2892.524849,<=50K
-13.856406,0,91.798693,-723434.321051,-1.732051,0,-119.511506,723309.613393,109.119201,0,<=50K
-19.052559,9446.605104,67.549981,-338423.67524,0,0,-142.028166,328831.577868,124.707658,-1.732051,<=50K
-3219.882451,1.732051,71.014083,-386669.950485,0,-3200.829892,-124.707658,386548.706928,-3095.174793,3202.561943,>50K
-10.392305,0,74.478185,-188244.477919,1.732051,-5.196152,-112.583302,188130.162566,102.190998,1.732051,<=50K
-13.856406,-1.732051,69.282032,-329193.576487,0,-1.732051,-135.099963,329056.744473,121.243557,1.732051,>50K
-13.856406,0,79.674337,-384792.40741,1.732051,-5.196152,-128.17176,384662.503599,114.315353,1.732051,<=50K
-19.052559,0,90.066642,-285615.178168,1.732051,-6.928203,-148.956369,285462.757697,126.439709,1.732051,<=50K
-19.052559,1.732051,109.119201,-296203.204755,0,-3.464102,-155.884573,296049.052233,138.564065,3.464102,>50K
-19.052559,1.732051,74.478185,-322677.601348,0,0,-119.511506,322561.553944,102.190998,3.464102,<=50K
-12.124356,0,72.746134,-495472.186064,0,0,-129.903811,495342.282253,121.243557,0,>50K
-17.320508,1.732051,86.60254,-698814.950873,0,-1.732051,-135.099963,698676.386808,121.243557,0,>50K
-17.320508,0,50.229473,-388376.02053,0,-3.464102,-88.334591,388285.953888,74.478185,-1.732051,<=50K
-6.928203,-1.732051,20.78461,-213444.085118,0,-3.464102,-145.492268,213302.056952,136.832014,0,<=50K
-22.51666,1.732051,74.478185,-172448.174554,1.732051,-1.732051,-133.367912,172314.806642,112.583302,3.464102,>50K
-5.196152,1.732051,91.798693,-213399.051797,1.732051,-5.196152,-136.832014,213262.219784,131.635861,3.464102,<=50K
-12.124356,0,91.798693,-400233.640359,1.732051,-3.464102,-142.028166,400093.344244,129.903811,3.464102,>50K
-20.78461,13317.738659,72.746134,-563732.30839,1.732051,1.732051,-154.152522,550258.685158,138.564065,3.464102,>50K
-15.588457,-3.464102,83.138439,-417621.698416,1.732051,-3.464102,-180.133284,417438.101031,164.544827,3.464102,<=50K
-22.51666,1.732051,91.798693,-381220.918644,1.732051,1.732051,-142.028166,381073.694326,124.707658,-1.732051,<=50K
-12.124356,0,74.478185,-312420.396466,1.732051,-3.464102,-128.17176,312293.956757,116.047404,3.464102,<=50K
-13.856406,0,72.746134,-55248.95666,3.464102,-3.464102,-169.740979,55079.215681,155.884573,5.196152,>50K
-20.78461,-1.732051,72.746134,-317335.956658,0,-3.464102,-147.224319,317187.000288,128.17176,1.732051,<=50K
-12.124356,-1.732051,86.60254,-668677.266821,0,-5.196152,-128.17176,668547.36301,116.047404,0,<=50K
-25.980762,-1.732051,88.334591,-773163.231787,1.732051,0,-136.832014,773022.935672,114.315353,0,>50K
-13.856406,0,93.530744,-48632.522575,-1.732051,-1.732051,-162.812776,48466.245697,150.68842,0,<=50K
-12.124356,-1.732051,46.765372,-488777.809693,1.732051,-3.464102,-112.583302,488661.762289,96.994845,-3.464102,<=50K
-22.51666,0,71.014083,-333262.163834,3.464102,-1.732051,-116.047404,333146.116429,91.798693,3.464102,<=50K
-10.392305,-1.732051,38.105118,-664509.952578,-1.732051,-1.732051,-65.817931,664438.938495,55.425626,0,<=50K
0,-1.732051,43.30127,-792290.268855,0,-3.464102,-95.262794,792198.470163,90.066642,0,<=50K
-17.320508,-1.732051,129.903811,-139049.038832,-1.732051,-1.732051,-183.597386,138865.441446,166.276878,5.196152,<=50K
-17.320508,1.732051,72.746134,-276378.151211,3.464102,-3.464102,-122.975607,276256.907655,102.190998,5.196152,<=50K
-10.392305,-1.732051,74.478185,-417263.163899,1.732051,-5.196152,-154.152522,417114.20753,140.296115,3.464102,<=50K
-10.392305,-5.196152,72.746134,-144591.601416,-1.732051,-3.464102,-128.17176,144461.697605,117.779455,0,>50K
-6.928203,1.732051,5.196152,-51854.137077,1.732051,-1.732051,-129.903811,51722.501216,126.439709,3.464102,<=50K
-19.052559,1.732051,90.066642,-321404.544005,0,0,-190.525589,321215.750467,174.937132,1.732051,>50K
