Date,Symbol,Order,Shares
2008-01-02,IBM,BUY,100
2008-01-04,IBM,BUY,100
2008-01-10,IBM,BUY,100
2008-01-14,IBM,SELL,100
2008-01-15,IBM,BUY,100
2008-01-16,IBM,BUY,100
2008-01-18,IBM,BUY,100
2008-01-23,IBM,BUY,100
2008-01-28,IBM,BUY,100
2008-01-29,IBM,SELL,100
2008-01-30,IBM,BUY,100
2008-02-04,IBM,BUY,100
2008-02-12,IBM,BUY,100
2008-02-15,IBM,SELL,100
2008-02-19,IBM,BUY,100
2008-02-21,IBM,SELL,100
2008-02-22,IBM,BUY,100
2008-02-27,IBM,BUY,100
2008-03-03,IBM,BUY,100
2008-03-05,IBM,BUY,100
2008-03-10,IBM,SELL,100
2008-03-11,IBM,BUY,100
2008-03-18,IBM,BUY,100
2008-03-19,IBM,SELL,100
2008-03-20,IBM,BUY,100
2008-03-24,IBM,SELL,100
2008-03-26,IBM,BUY,100
2008-04-02,IBM,BUY,100
2008-04-04,IBM,BUY,100
2008-04-08,IBM,BUY,100
2008-04-09,IBM,SELL,100
2008-04-11,IBM,SELL,100
2008-04-14,IBM,BUY,100
2008-04-16,IBM,BUY,100
2008-04-24,IBM,BUY,100
2008-04-29,IBM,BUY,100
2008-05-02,IBM,BUY,100
2008-05-07,IBM,BUY,100
2008-05-14,IBM,BUY,100
2008-05-20,IBM,BUY,100
2008-05-28,IBM,SELL,100
2008-05-29,IBM,BUY,100
2008-06-03,IBM,BUY,100
2008-06-06,IBM,BUY,100
2008-06-11,IBM,BUY,100
2008-06-18,IBM,BUY,100
2008-06-20,IBM,SELL,100
2008-06-24,IBM,SELL,100
2008-06-25,IBM,BUY,100
2008-06-26,IBM,BUY,100
2008-07-07,IBM,BUY,100
2008-07-15,IBM,BUY,100
2008-07-16,IBM,SELL,100
2008-07-25,IBM,BUY,100
2008-07-29,IBM,BUY,100
2008-07-30,IBM,SELL,100
2008-07-31,IBM,BUY,100
2008-08-01,IBM,SELL,100
2008-08-05,IBM,BUY,100
2008-08-11,IBM,BUY,100
2008-08-15,IBM,BUY,100
2008-08-20,IBM,SELL,100
2008-08-22,IBM,BUY,100
2008-08-26,IBM,BUY,100
2008-08-28,IBM,BUY,100
2008-09-09,IBM,BUY,100
2008-09-11,IBM,BUY,100
2008-09-17,IBM,BUY,100
2008-09-19,IBM,BUY,100
2008-09-22,IBM,SELL,100
2008-09-24,IBM,BUY,100
2008-10-14,IBM,BUY,100
2008-10-29,IBM,BUY,100
2008-11-06,IBM,SELL,100
2008-11-07,IBM,BUY,100
2008-11-14,IBM,BUY,100
2008-11-19,IBM,BUY,100
2008-11-24,IBM,BUY,100
2008-12-02,IBM,BUY,100
2008-12-08,IBM,BUY,100
2008-12-12,IBM,SELL,100
2008-12-15,IBM,BUY,100
2008-12-16,IBM,SELL,100
2008-12-17,IBM,BUY,100
2008-12-29,IBM,BUY,100
2008-12-30,IBM,SELL,100
2009-01-09,IBM,BUY,100
2009-01-16,IBM,SELL,100
2009-01-20,IBM,BUY,100
2009-01-28,IBM,SELL,100
2009-01-29,IBM,BUY,100
2009-02-06,IBM,BUY,100
2009-03-11,IBM,BUY,100
2009-03-23,IBM,BUY,100
2009-03-30,IBM,SELL,100
2009-04-01,IBM,BUY,100
2009-04-20,IBM,BUY,100
2009-04-29,IBM,BUY,100
2009-05-12,IBM,BUY,100
2009-05-28,IBM,BUY,100
2009-06-05,IBM,BUY,100
2009-06-09,IBM,BUY,100
2009-06-10,IBM,SELL,100
2009-06-12,IBM,BUY,100
2009-06-16,IBM,BUY,100
2009-06-26,IBM,BUY,100
2009-07-02,IBM,SELL,100
2009-07-06,IBM,BUY,100
2009-07-10,IBM,SELL,100
2009-07-13,IBM,BUY,100
2009-07-24,IBM,BUY,100
2009-07-29,IBM,BUY,100
2009-08-07,IBM,BUY,100
2009-08-11,IBM,SELL,100
2009-08-12,IBM,BUY,100
2009-08-14,IBM,BUY,100
2009-08-26,IBM,BUY,100
2009-08-27,IBM,SELL,100
2009-08-28,IBM,BUY,100
2009-09-09,IBM,BUY,100
2009-09-10,IBM,SELL,100
2009-09-24,IBM,BUY,100
2009-09-28,IBM,BUY,100
2009-10-05,IBM,SELL,100
2009-10-06,IBM,BUY,100
2009-10-29,IBM,BUY,100
2009-11-03,IBM,BUY,100
2009-11-06,IBM,BUY,100
2009-11-16,IBM,BUY,100
2009-11-25,IBM,BUY,100
2009-11-30,IBM,SELL,100
2009-12-01,IBM,BUY,100
2009-12-07,IBM,BUY,100
2009-12-10,IBM,BUY,100
2009-12-22,IBM,SELL,100
2009-12-23,IBM,BUY,100
